Name,District,Party,Hometown,SwearIn,Ref
Jerrold Nadler,New York (NY) - 12th,Democrat,New York,"Jan. 07, 2023",/members/N000002
Doug LaMalfa,California (CA) - 1st,Republican,Oroville,"Jan. 07, 2023",/members/L000578
Michael T. McCaul,Texas (TX) - 10th,Republican,Austin,"Jan. 07, 2023",/members/M001157
Steve Cohen,Tennessee (TN) - 9th,Democrat,Memphis,"Jan. 07, 2023",/members/C001068
Glenn Grothman,Wisconsin (WI) - 6th,Republican,Glenbeulah,"Jan. 07, 2023",/members/G000576
Joe Wilson,South Carolina (SC) - 2nd,Republican,Springdale,"Jan. 07, 2023",/members/W000795
Randy Feenstra,Iowa (IA) - 4th,Republican,Hull,"Jan. 07, 2023",/members/F000446
Tom Emmer,Minnesota (MN) - 6th,Republican,Delano,"Jan. 07, 2023",/members/E000294
Mike Kelly,Pennsylvania (PA) - 16th,Republican,Butler,"Jan. 07, 2023",/members/K000376
Debbie Lesko,Arizona (AZ) - 8th,Republican,Peoria,"Jan. 07, 2023",/members/L000589
David G. Valadao,California (CA) - 22nd,Republican,Hanford,"Jan. 07, 2023",/members/V000129
Darin LaHood,Illinois (IL) - 16th,Republican,Peoria,"Jan. 07, 2023",/members/L000585
Nick LaLota,New York (NY) - 1st,Republican,Suffolk County,"Jan. 07, 2023",/members/L000598
Joaquin Castro,Texas (TX) - 20th,Democrat,San Antonio,"Jan. 07, 2023",/members/C001091
Bob Good,Virginia (VA) - 5th,Republican,Lynchburg,"Jan. 07, 2023",/members/G000595
Katherine M. Clark,Massachusetts (MA) - 5th,Democrat,Revere,"Jan. 07, 2023",/members/C001101
Brad Sherman,California (CA) - 32nd,Democrat,Sherman Oaks,"Jan. 07, 2023",/members/S000344
Daniel Webster,Florida (FL) - 11th,Republican,Clermont,"Jan. 07, 2023",/members/W000806
Vern Buchanan,Florida (FL) - 16th,Republican,Sarasota,"Jan. 07, 2023",/members/B001260
Ted Lieu,California (CA) - 36th,Democrat,Torrance,"Jan. 07, 2023",/members/L000582
Mikie Sherrill,New Jersey (NJ) - 11th,Democrat,Montclair,"Jan. 07, 2023",/members/S001207
Victoria Spartz,Indiana (IN) - 5th,Republican,Noblesville,"Jan. 07, 2023",/members/S000929
Katie Porter,California (CA) - 47th,Democrat,Irvine,"Jan. 07, 2023",/members/P000618
Sylvia R. Garcia,Texas (TX) - 29th,Democrat,Houston,"Jan. 07, 2023",/members/G000587
Brian J. Mast,Florida (FL) - 21st,Republican,Fort Pierce,"Jan. 07, 2023",/members/M001199
Barry Moore,Alabama (AL) - 2nd,Republican,Enterprise,"Jan. 07, 2023",/members/M001212
Mark E. Amodei,Nevada (NV) - 2nd,Republican,Carson City,"Jan. 07, 2023",/members/A000369
Summer L. Lee,Pennsylvania (PA) - 12th,Democrat,Swissvale,"Jan. 07, 2023",/members/L000602
Erin Houchin,Indiana (IN) - 9th,Republican,Salem,"Jan. 07, 2023",/members/H001093
Susan Wild,Pennsylvania (PA) - 7th,Democrat,Allentown,"Jan. 07, 2023",/members/W000826
Barbara Lee,California (CA) - 12th,Democrat,Oakland,"Jan. 07, 2023",/members/L000551
Matt Cartwright,Pennsylvania (PA) - 8th,Democrat,Moosic,"Jan. 07, 2023",/members/C001090
Byron Donalds,Florida (FL) - 19th,Republican,Naples,"Jan. 07, 2023",/members/D000032
Mary Sattler Peltola,Alaska (AK) - At Large,Democrat,Bethel,"Jan. 07, 2023",/members/P000619
Christopher R. Deluzio,Pennsylvania (PA) - 17th,Democrat,Aspinwall,"Jan. 07, 2023",/members/D000530
Mike Bost,Illinois (IL) - 12th,Republican,Murphysboro,"Jan. 07, 2023",/members/B001295
Anna G. Eshoo,California (CA) - 16th,Democrat,Atherton,"Jan. 07, 2023",/members/E000215
Barry Loudermilk,Georgia (GA) - 11th,Republican,Cassville,"Jan. 07, 2023",/members/L000583
Michelle Steel,California (CA) - 45th,Republican,Orange County,"Jan. 07, 2023",/members/S001135
Thomas P. Tiffany,Wisconsin (WI) - 7th,Republican,Minocqua,"Jan. 07, 2023",/members/T000165
Derrick Van Orden,Wisconsin (WI) - 3rd,Republican,Prairie du Chien,"Jan. 07, 2023",/members/V000135
Pat Fallon,Texas (TX) - 4th,Republican,Frisco,"Jan. 07, 2023",/members/F000246
Colin Z. Allred,Texas (TX) - 32nd,Democrat,Dallas,"Jan. 07, 2023",/members/A000376
John B. Larson,Connecticut (CT) - 1st,Democrat,East Hartford,"Jan. 07, 2023",/members/L000557
Betty McCollum,Minnesota (MN) - 4th,Democrat,St. Paul,"Jan. 07, 2023",/members/M001143
Pete Stauber,Minnesota (MN) - 8th,Republican,Hermantown,"Jan. 07, 2023",/members/S001212
Grace F. Napolitano,California (CA) - 31st,Democrat,Norwalk,"Jan. 07, 2023",/members/N000179
Mike Collins,Georgia (GA) - 10th,Republican,Jackson,"Jan. 07, 2023",/members/C001129
Glenn Ivey,Maryland (MD) - 4th,Democrat,Cheverly,"Jan. 07, 2023",/members/I000058
Vicente Gonzalez,Texas (TX) - 34th,Democrat,McAllen,"Jan. 07, 2023",/members/G000581
Frank J. Mrvan,Indiana (IN) - 1st,Democrat,Highland,"Jan. 07, 2023",/members/M001214
Hakeem S. Jeffries,New York (NY) - 8th,Democrat,Brooklyn,"Jan. 07, 2023",/members/J000294
Marjorie Taylor Greene,Georgia (GA) - 14th,Republican,Rome,"Jan. 07, 2023",/members/G000596
Michael Lawler,New York (NY) - 17th,Republican,Pearl River,"Jan. 07, 2023",/members/L000599
Suzanne Bonamici,Oregon (OR) - 1st,Democrat,Washington County,"Jan. 07, 2023",/members/B001278
"Matthew M. Rosendale, Sr.",Montana (MT) - 2nd,Republican,Glendive,"Jan. 07, 2023",/members/R000103
Mark Pocan,Wisconsin (WI) - 2nd,Democrat,Town of Vermont,"Jan. 07, 2023",/members/P000607
Michael Guest,Mississippi (MS) - 3rd,Republican,Brandon,"Jan. 07, 2023",/members/G000591
Christopher H. Smith,New Jersey (NJ) - 4th,Republican,Manchester,"Jan. 07, 2023",/members/S000522
Brendan F. Boyle,Pennsylvania (PA) - 2nd,Democrat,Philadelphia,"Jan. 07, 2023",/members/B001296
Lizzie Fletcher,Texas (TX) - 7th,Democrat,Houston,"Jan. 07, 2023",/members/F000468
Norma J. Torres,California (CA) - 35th,Democrat,Pomona,"Jan. 07, 2023",/members/T000474
Monica De La Cruz,Texas (TX) - 15th,Republican,McAllen,"Jan. 07, 2023",/members/D000594
Rashida Tlaib,Michigan (MI) - 12th,Democrat,Detroit,"Jan. 07, 2023",/members/T000481
Sharice Davids,Kansas (KS) - 3rd,Democrat,Roeland Park,"Jan. 07, 2023",/members/D000629
Kevin Kiley,California (CA) - 3rd,Republican,Rocklin,"Jan. 07, 2023",/members/K000401
Stephanie I. Bice,Oklahoma (OK) - 5th,Republican,Oklahoma City,"Jan. 07, 2023",/members/B000740
Ben Cline,Virginia (VA) - 6th,Republican,Botetourt,"Jan. 07, 2023",/members/C001118
Wiley Nickel,North Carolina (NC) - 13th,Democrat,Cary,"Jan. 07, 2023",/members/N000194
Jodey C. Arrington,Texas (TX) - 19th,Republican,Lubbock,"Jan. 07, 2023",/members/A000375
Alma S. Adams,North Carolina (NC) - 12th,Democrat,Charlotte,"Jan. 07, 2023",/members/A000370
Jared F. Golden,Maine (ME) - 2nd,Democrat,Lewiston,"Jan. 07, 2023",/members/G000592
Gregory W. Meeks,New York (NY) - 5th,Democrat,Queens,"Jan. 07, 2023",/members/M001137
André Carson,Indiana (IN) - 7th,Democrat,Indianapolis,"Jan. 07, 2023",/members/C001072
Steven Horsford,Nevada (NV) - 4th,Democrat,Las Vegas,"Jan. 07, 2023",/members/H001066
