Member,Vote,Party,State,Profile
Titus,Yea,Democratic,NV,/members/T000468
Tlaib,Yea,Democratic,MI,/members/T000481
Tonko,Yea,Democratic,NY,/members/T000469
Torres (CA),Yea,Democratic,CA,/members/T000474
Torres (NY),Yea,Democratic,NY,/members/T000486
Trahan,Yea,Democratic,MA,/members/T000482
Trone,Yea,Democratic,MD,/members/T000483
Turner,Nay,Republican,OH,/members/T000463
Underwood,Yea,Democratic,IL,/members/U000040
Upton,Nay,Republican,MI,http://bioguide.congress.gov/scripts/biodisplay.pl?index=U000031
Valadao,Not Voting,Republican,CA,/members/V000129
Van Drew,Not Voting,Republican,NJ,/members/V000133
Van Duyne,Nay,Republican,TX,/members/V000134
Vargas,Yea,Democratic,CA,/members/V000130
Veasey,Yea,Democratic,TX,/members/V000131
Vela,Not Voting,Democratic,TX,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000132
Velazquez,Yea,Democratic,NY,/members/V000081
Wagner,Not Voting,Republican,MO,/members/W000812
Walberg,Not Voting,Republican,MI,/members/W000798
Walorski,Nay,Republican,IN,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000813
Waltz,Nay,Republican,FL,/members/W000823
Wasserman Schultz,Yea,Democratic,FL,/members/W000797
Waters,Yea,Democratic,CA,/members/W000187
Watson Coleman,Yea,Democratic,NJ,/members/W000822
Weber (TX),Not Voting,Republican,TX,/members/W000814
Webster (FL),Nay,Republican,FL,/members/W000806
Welch,Yea,Democratic,VT,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000800
Wenstrup,Not Voting,Republican,OH,/members/W000815
Westerman,Nay,Republican,AR,/members/W000821
Wexton,Yea,Democratic,VA,/members/W000825
Wild,Yea,Democratic,PA,/members/W000826
Williams (GA),Yea,Democratic,GA,/members/W000788
Williams (TX),Not Voting,Republican,TX,/members/W000816
Wilson (FL),Yea,Democratic,FL,/members/W000808
Wilson (SC),Nay,Republican,SC,/members/W000795
Wittman,Nay,Republican,VA,/members/W000804
Womack,Nay,Republican,AR,/members/W000809
Yarmuth,Yea,Democratic,KY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=Y000062
Young,Nay,Republican,AK,http://bioguide.congress.gov/scripts/biodisplay.pl?index=Y000033
Zeldin,Nay,Republican,NY,http://bioguide.congress.gov/scripts/biodisplay.pl?index=Z000017
